Writer,Content,Date,Like,Tag,Comments,Url
shortjisik,98%가 모르는 이렇게 생긴 점의 위험성,4-16,37.3K,"['#틱톡쌤', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",411,https://www.tiktok.com/@shortjisik/video/7222607715909094657?q=%EC%A0%95%EB%B3%B4
arooo.co.kr,[],4-23,5210,[],36,https://www.tiktok.com/@arooo.co.kr/video/7222886768561999105?q=%EC%A0%95%EB%B3%B4
mynameisminji_,속옷 정보 다들 물어보시길래 한 번에 말씀드릴게요 댓글에 몇 번 적어둔 적도 있었는데 속옷을 제가 직접 사 봤을 땐 다 사이즈가 없거나 안 맞았었고 아직 제 컵 사이즈도 셀프로 말곤 재 본 적이 없어서 정확한 사이즈를 몰라요 😕 그래서 지금 항상 입고 있는 속옷은 저희 엄마가 그냥 아무 데나 가서 큰 거 사 오신 거 입었던 거라 정보를 딱 말씀드리기는 어려워요 지나가다가 그냥 사 오셨던 거라 브랜드도 아니라 이름도 없습니다 😓,4-12,21.1K,[],92,https://www.tiktok.com/@mynameisminji_/video/7221039943013960962?q=%EC%A0%95%EB%B3%B4
very_good_tip,해당 증상이 하나라도 있다면 병원가서 검사 받아야 합니다 #실명 #망막박리 #망막 #눈 #꿀팁 #정보 #생존 #병원 #안과,7-28,68.4K,"['#실명', '#망막박리', '#망막', '#눈', '#꿀팁', '#정보', '#생존', '#병원', '#안과']",2125,https://www.tiktok.com/@very_good_tip/video/7260303672855383303?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,여기 제발 찢지마세요 반대로 해야 인생이 개편해집니다,5일 전,604,"['#꿀잼', '#이슈', '#정보']",18,https://www.tiktok.com/@1qnswjdqh/video/7306411971740552456?q=%EC%A0%95%EB%B3%B4
youtube.araboja,매일 고기를 섭취하던 남성의 눈에서 충격적인 것이 발견됐습니다,3-25,24.9K,"['#에듀톡', '#지식', '#정보']",182,https://www.tiktok.com/@youtube.araboja/video/7213308019730418946?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,요즘 엄빠들이 낳자마자 달려가는 이유,11-20,4656,['#정보'],312,https://www.tiktok.com/@1qnswjdqh/video/7303238991615102215?q=%EC%A0%95%EB%B3%B4
hhwww_,님에게 회신 옷 정보 대령이요 ㅎ3ㅎ 🤍🤍,2021-8-11,5897,[],40,https://www.tiktok.com/@hhwww_/video/6995177676520557826?q=%EC%A0%95%EB%B3%B4
shortjisik,점점 커지고 있는 서울 한강의 무인도 (진짜임),7-11,29.1K,"['#틱톡교실', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식']",474,https://www.tiktok.com/@shortjisik/video/7254514671661665537?q=%EC%A0%95%EB%B3%B4
bunny.seol,청순 여신 할게요 오늘.. 가볍고 데일리로 입기 좋은 데일리 목폴라 🤍 옷 정보: 에이블리 “리아” 검색해주세요!,10-7,46.3K,[],190,https://www.tiktok.com/@bunny.seol/video/7287135103745068296?q=%EC%A0%95%EB%B3%B4
boseoki4990,본인이 예쁜지 안예쁜지 구분하는 방법 (여자편 test),1-26,4944,"['#정보', '#꿀팁', '#캘리그라피', '#예쁜여자들특징']",302,https://www.tiktok.com/@boseoki4990/video/7192946640213331202?q=%EC%A0%95%EB%B3%B4
keith06230,패딩 정보 알려드립니다,3-11,180.9K,[],1359,https://www.tiktok.com/@keith06230/video/7209152455517408513?q=%EC%A0%95%EB%B3%B4
lyun1024,알아두면 쓸모있는 생활꿀팁 2가지!,8-16,5809,"['#살림꿀팁', '#살림노하우', '#생활꿀팁', '#살림팁', '#꼼수살림']",59,https://www.tiktok.com/@lyun1024/video/7267896127960190209?q=%EC%A0%95%EB%B3%B4
shortjisik,한국인들만 7년째 모르는 구글 스마트폰,5-1,17.1K,"['#틱톡쌤', '#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",256,https://www.tiktok.com/@shortjisik/video/7228170481407413506?q=%EC%A0%95%EB%B3%B4
to_charminggg,님에게 회신 본인이 인스타에 정보 써둔거 찾기 귀찮아서 안찾은걸 제탓하지마세용!!,2021-11-12,2457,[],19,https://www.tiktok.com/@to_charminggg/video/7029638391666871553?q=%EC%A0%95%EB%B3%B4
serenitybyirene,나한테 반하지마?! 두나룩 정보,11-5,263.5K,"['#이두나패션', '#이두착장', '#플러팅룩', '#doona']",669,https://www.tiktok.com/@serenitybyirene/video/7297798776025025800?q=%EC%A0%95%EB%B3%B4
gang_sangdo,따개비가 몸에서 자란다?! 자신있는 사람만 시청 ※환공포증 주의※,9-6,1756,"['#진실혹은거짓', '#SHORTS', '#정보', '#유머']",113,https://www.tiktok.com/@gang_sangdo/video/7275359647979113729?q=%EC%A0%95%EB%B3%B4
moyeompresents,"얘들아 하이하이 그동안 나시 안에 속옷 어떻게하는지!! 백만번 질문 받았었는데 너무 맘에드는 제품을 발견해서 이제서야 제품 추천을 해줄 수 있게 되었어 마른파이브 제품이랑 착용감 찰떡이었던 옷들까지 골라왔으니까 누브라랑 니플패치 처음 시도해본다면 추천조합 그대로 한번 착용해보는거 추천할게!! 울 마리모들 위해 특별 할인코드까지 제공해주셨으니까 야무지게 써먹어보쟈구💖 📌 공식몰 10% 특별 할인코드 - 선착순 1000명, 7/20까지! 👉 할인코드 : moyeom2306 📌 제품정보 ✅ 두프리 실리콘 누드브라 라인 전체보기 https://bit.ly/3NcE8Af ✅ 브라 쉬는 날, 프리플 니플패치 2종 https://bit.ly/3oNKtsC 📌 올리브영 온라인몰(6/1 ~ 올영세일 특가 할인 중) 👉 https://bit.ly/3oJUo2g 두프리 실리콘 누드브라 제품은 올리브영 일부 오프라인 매장에서도 만나볼 수 있습니다😀 📌 옷 정보 - 지그재그 / 앙빼더데이 - 나무 구슬 포인트 끈 홀터넥 + 가오리핏 볼레로 세트 / 모카1 ➕ 3cm 두프리 https://s.zigzag.kr/usu4noxlo4 - 지그재그 / 리치무드 - 라라 unbalance cami t / 블랙1 ➕ 슬림 두프리 https://s.zigzag.kr/eE6oJb6tWv - 지그재그 / 언니살롱 - 오프숄더 반팔티 / 핑크2 ➕ 2cm 두프리 https://s.zigzag.kr/Upnnly3tbK - 지그재그 / 언니살롱 - 오프밴딩 미니 원피스 / 화이트2 ➕ 2cm 두프리 https://s.zigzag.kr/arIcqF6hcP - 지그재그 / 블루팝스 - 멀티시즌 스트링 끈나시 / 아이보리2 ➕ 노글루 트리플 https://s.zigzag.kr/2R9HI0L343 - 지그재그 / 리치무드 - 바디 halterneck t / 블랙1 ➕ 노글루 트리플 https://s.zigzag.kr/6OTxMcDzWS - 지그재그 / 블루팝스 - 탑오브 리얼크롭 티셔츠 / 버건디2 ➕ 글루 트리플 https://s.zigzag.kr/e92pDWXYUW - 지그재그 / 블루팝스 - 코나 홀터넥 탑 / 블랙2 ➕ 2cm 두프리 https://s.zigzag.kr/9RMExclZjd - 지그재그 / 리치무드 - 헤더 cut-out t / 블루1 ➕ 슬림 두프리 https://s.zigzag.kr/XWh2B9kF3u - 지그재그 / 리치무드 - 미스티 tunnel shirring t / 블랙1 ➕ 초슬림 두프리 https://s.zigzag.kr/axXteRHHyM - 지그재그 / 앙빼더데이 - 유니크 스트링 홀터넥 스판 나시 / 카키1 ➕ 초슬림 두프리 https://s.zigzag.kr/F44VIxGN0S - 지그재그 / 리치무드 - 다이아 triangle cami t / 스카이1 ➕ 초슬림 두프리 https://s.zigzag.kr/T5fa9kST2q 📌 모여미씨 착용정보 ✅ 90B - 두프리 실리콘 누드브라 파워슬림 👉 D/E - 두프리 실리콘 누드브라 초슬림 👉 D/E - 두프리 실리콘 누드브라 2CM 볼륨업 👉 C/D - 두프리 실리콘 누드브라 3CM 볼륨업 👉 C/D - 프리플 니플패치 글루/노글루 👉 8cm (저와 같은 사이즈더라도 개인체형에 따라 차이가 있을 수 있으니 !!꼭!! 상세페이지 확인 후 구매해주세요)",6-19,28.4K,[],137,https://www.tiktok.com/@moyeompresents/video/7246351854358039810?q=%EC%A0%95%EB%B3%B4
honeyphone.net,이렇게 뜬다면 당장 폰을 바꾸세요 / 휴대폰 구매상담은 꿀폰에서 확인! ☎️상담 1600-7949/10:00-19:00,2-4,12.2K,['#폰정보'],2730,https://www.tiktok.com/@honeyphone.net/video/7196244116638911745?q=%EC%A0%95%EB%B3%B4
hwangtaetv,지금 위험한 대학 TOP2,7-30,16.8K,"['#대학정보', '#대학탐방', '#경주', '#경주대학교', '#나주시', '#폐교위기', '#대학']",124,https://www.tiktok.com/@hwangtaetv/video/7261603894583692545?q=%EC%A0%95%EB%B3%B4
full.xun66,제발 정보 한번이라도 찾아보고 정보질문 해주세요 그냥 지금 이 영상에 궁금한거 다 물어봐주세요 어짜피 이렇게 말해도 또 여기다가 안물어보고 다른영상에서 물어볼거 압니다 정보 당연히 알려줄 수 있는데 검색하면 바로 나오고 이미 대답한 질문들도 있는데 찾아보지도 않고 왜 또 굳이 물어보세요? 물어보려고 텍스트 칠 시간에 저같으면 검색하겠어요 틱톡 댓글 뿐만 아니라 인스타 디엠으로도 너무 많이 정보 질문해주셔서 스트레스 받습니다 이제는 정보 물어보시면 그냥 저희 집에서 나온거라고 말씀 드리고싶네요,20시간 전,190,[],5,https://www.tiktok.com/@full.xun66/video/7308307633683959041?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,지금 인터넷에서 난리란 악마같은 수법,11-22,1166,"['#꿀팁나눔', '#정보공유', '#정보톡', '#사건', '#범죄']",17,https://www.tiktok.com/@1qnswjdqh/video/7304291570025614600?q=%EC%A0%95%EB%B3%B4
boseoki4990,‼️진짜 착한애들 공통된 특징🌈 신기하게 맞는것 같아 ㅎㅎ,2-6,18.7K,"['#재미', '#착한애들특징', '#테스트', '#성격', '#취미']",1702,https://www.tiktok.com/@boseoki4990/video/7197037971046944002?q=%EC%A0%95%EB%B3%B4
dal_chaebi,은 어떻게 쓰는거지?,7-14,2081,"['#탐폰', '#탐폰사용법', '#생리', '#꿀팁', '#정보']",68,https://www.tiktok.com/@dal_chaebi/video/7255472990731750657?q=%EC%A0%95%EB%B3%B4
jjalcut,공항 가기 전에 꼭 ‘이것’만 추가하고 가세요!,9-26,20.3K,"['#해외여행', '#비행기']",98,https://www.tiktok.com/@jjalcut/video/7283050941073558786?q=%EC%A0%95%EB%B3%B4
rankingschoolkr,잘나가다가 결말에서 말아먹은 웹툰 TOP3_01,2022-9-15,51K,"['#틱톡정보', '#랭킹', '#웹툰결말', '#결말폭망']",425,https://www.tiktok.com/@rankingschoolkr/video/7143525281943375106?q=%EC%A0%95%EB%B3%B4
auctiontong,평당 1만원도 안한다. 대지 104평 100만원,11-13,544,"['#옥션통', '#권리분석', '#경매물건', '#경매추천']",74,https://www.tiktok.com/@auctiontong/video/7300802697727364370?q=%EC%A0%95%EB%B3%B4
shortjisik,이게 8400만원짜리 가방이라고?,7-17,16.2K,"['#틱톡쌤', '#에듀톡', '#지식', '#상식', '#정보']",161,https://www.tiktok.com/@shortjisik/video/7256742771803917570?q=%EC%A0%95%EB%B3%B4
uservnodq8e7fg,인생 쿠션 총정리,2022-8-19,3098,"['#알아두면유용한정보', '#알아두면언젠가쓸데있는정보', '#좋아요폭탄']",15,https://www.tiktok.com/@uservnodq8e7fg/video/7133350576062074113?q=%EC%A0%95%EB%B3%B4
allstorieskr,플러스 사이즈 모델은 헌팅 자주 당할까?,2022-8-19,18K,"['#보이는이야기', '#플러스사이즈모델', '#틱톡정보', '#틱톡인터뷰']",504,https://www.tiktok.com/@allstorieskr/video/7133474284822891778?q=%EC%A0%95%EB%B3%B4
_haxxunni,님에게 회신 화장품 정보|사용하다가 찍어서 기스난 건 그냥 무시하시고 봐쥬세용 화장품 정보 질문 디엠 많이와서 이걸로 올리고 끝낼게여 저번 영상이랑 물어보셨던 영상들에서 자주 사용한 화장품이고 다는 못 찍었는데 최대한 많이 정보 가져왓습니다요♥︎♥︎,9-6,2521,[],27,https://www.tiktok.com/@_haxxunni/video/7275379882564062465?q=%EC%A0%95%EB%B3%B4
shortjisik,지구는 사실 2개입니다.,11-2,45.7K,"['#틱톡쌤', '#틱톡교실', '#지식', '#상식', '#정보']",1328,https://www.tiktok.com/@shortjisik/video/7296818676928367873?q=%EC%A0%95%EB%B3%B4
shortjisik,지금 난리난 경찰청 해킹 어플 (61억원 피해),4-2,29.7K,"['#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",522,https://www.tiktok.com/@shortjisik/video/7217408516904979713?q=%EC%A0%95%EB%B3%B4
o_ing13,세상에서 제일 못생긴 여자,4-15,13.8K,"['#궁금한이야기', '#상식', '#지식', '#정보', '#틱톡교실', '#에듀톡']",349,https://www.tiktok.com/@o_ing13/video/7222229051744816386?q=%EC%A0%95%EB%B3%B4
pleasist.com,님에게 회신 극초박 콘돔은 미성년자도 구매할 수 있답니다😊😊,2022-12-27,12.9K,[],138,https://www.tiktok.com/@pleasist.com/video/7181760075801955585?q=%EC%A0%95%EB%B3%B4
shortjisik,발견하면 무려 '2억'을 벌 수 있는 행운의 돌,4-10,19.2K,"['#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",137,https://www.tiktok.com/@shortjisik/video/7220376016206728449?q=%EC%A0%95%EB%B3%B4
skm0905,로어 파트 2입니다 ! 말 그대로 로어인만큼 불확실한 정보가 있을 수도 있으니 재미로만 봐주세요 !,2022-7-18,517,[],11,https://www.tiktok.com/@skm0905/video/7121727032974658817?q=%EC%A0%95%EB%B3%B4
jjalcut,아 해킹당했다.. X됐다..,5-8,40.1K,"['#꿀팁', '#개꿀팁', '#꿀앱']",128,https://www.tiktok.com/@jjalcut/video/7230286454251965698?q=%EC%A0%95%EB%B3%B4
yyy_judo,진짜 많이 물어보셨던 정보 모음!!🤩,2022-9-17,19.2K,"['#추천', '#유도', '#용인대학교', '#judo', '#용용용', '#파트너크리에이터']",171,https://www.tiktok.com/@yyy_judo/video/7144271671065644290?q=%EC%A0%95%EB%B3%B4
funfun_days,신기해ㅋㅋㅋㅋ,8-23,2487,"['#cpr', '#심폐소생술', '#원리']",164,https://www.tiktok.com/@funfun_days/video/7270430327623912711?q=%EC%A0%95%EB%B3%B4
jjalcut,에버랜드 가기전 필수적으로 알아야하는 7가지의 꿀팁,2022-4-5,176.7K,"['#에듀톡', '#에버랜드']",1144,https://www.tiktok.com/@jjalcut/video/7083075900425702658?q=%EC%A0%95%EB%B3%B4
sunn416,다들 이모의 아디다스 져지 정보 물어보는데 10년 전에 산거라서 정보가 없어요.. 역시 유행은 돌고 돈다..,3-24,39.7K,[],184,https://www.tiktok.com/@sunn416/video/7214084628334824706?q=%EC%A0%95%EB%B3%B4
deartrend_md,발신번호 표시제한으로 전화가온다면..?,9-25,184,[],2,https://www.tiktok.com/@deartrend_md/video/7282696541616278802?q=%EC%A0%95%EB%B3%B4
dxiun.qp,님에게 회신 렌즈만 전영상이랑 달라용 정보는 고정영상에 다 있어요!!!!!!!!!!,9-23,44.5K,"['#추천', '#화장법', '#07', '#08', '#09']",587,https://www.tiktok.com/@dxiun.qp/video/7281909764555033858?q=%EC%A0%95%EB%B3%B4
moyeompresents,이번 여름이 가기 전에 따라해바 •• 옷 정보는 바로 전에 올린 영상 더보기란에!,8-13,32.2K,[],113,https://www.tiktok.com/@moyeompresents/video/7266766647564848391?q=%EC%A0%95%EB%B3%B4
hanl_na01,[],2021-8-31,24.8K,[],0,https://www.tiktok.com/@hanl_na01/video/7002417465154178306?q=%EC%A0%95%EB%B3%B4
hyewonwee,"77사이즈 girl들아~💕 이렇게 입으면 핀터레스트girl 쌉가능🤍 *영상에 나오는 모든 제품은 내돈내산입니다💸 제품 정보🖤 Look 1 Inner: 샵사이다 솔리드 레이스 트리밍 크롭 캐미탑, 화이트, L size, 7,900원 Top: 리브어리 [MADE]랜디아 아일렛 가디건, 그레이시소라, 29,800원 Bottom: 에즈이프 캘리 PARACHUTE CARGO PANTS KHAKI, free, 품절 Bag: 잔스포츠 하프파인트, 블랙, 품절 Shoes: 나이키 Look 2 Outer: 코코블랑 허밋 썸머볼레로 가디건, 회색, 13,900원 Top: 아쿠비클럽 [ACUBI CLUB] 엘라스틱 레이스 슬리브리스 탑, 진베이지, 14,000원 Bottom: 샵사이다 시폰 스팽글 러플 하이웨스트 미니 스커트, L size, 34,800원 ⬅️ L szie 품절이에요😩 Bag: 일리고 라인 호보백, 블랙, 128,000원 Shoes: 슈슐랭 하이 웨스턴 부츠 워커, 블랙, 250, 68,000원 Look 3 Top: 시너진 스트랩 버클 브이넥 골지가디건, 차콜, 30,400원 Bottom: 블랙업 (UNISEX)바미언 나일론 팬츠, 차콜, 34,000원 Bag: 키플링 22fw 시티백 미니 백팩 KMCBA02, 188,000원 Shoes: 나이키 Look 4 Top: 틸데서울 햄프 슬림 랩 후디, 블랙, 25,500원 Bottom: 애니원모어 푸라 차콜 롱 와이드 팬츠, L szie, 26,000원 Bag: 잔스포츠 하프파인트, 블랙, 품절 Shoes: 슈슐랭 하이 웨스턴 부츠 워커, 블랙, 250, 68,000원 Look 5 Top: 샵사이다 오프숄더 러치드 종 슬리브 탑, L size 26,700원 Botoom: 샵사이다 솔리드 하이웨스트 카고 파라슈트 스커트, L size, 34,000원 Bag: 무르 아띠백 실버, 112,000원 Shoes: 슈슐랭 하이 웨스턴 부츠 워커, 블랙, 250, 68,000원 ☑️헤원 신체사이즈☑️ 키: 163cn 몸무게: 74kg 허리 둘레 : 79cm 가슴 둘레: 105cm 엉덩이 둘레: 107cm 💌 Mail: wihaewon95@gmail.com",9-11,56.5K,[],537,https://www.tiktok.com/@hyewonwee/video/7277546505450310920?q=%EC%A0%95%EB%B3%B4
fuckyoukimjiho,옷 협찬받았습니다 옷정보:freeforsize입니다,10-17,57K,[],352,https://www.tiktok.com/@fuckyoukimjiho/video/7290924603650657537?q=%EC%A0%95%EB%B3%B4
dongdo2tv,옷정보 물어보시는분들이 많아서 총정리 영상으로 요약했습니다아,2021-2-10,992,['#추천'],19,https://www.tiktok.com/@dongdo2tv/video/6927527990863596802?q=%EC%A0%95%EB%B3%B4
choijungceo,5월 26일 오전 기상정보 생방중 실수,5-26,6364,"['#shorts', '#기상정보', '#일기예보', '#방송사고']",1,https://www.tiktok.com/@choijungceo/video/7237299090780998914?q=%EC%A0%95%EB%B3%B4
fashion.paparazzi,스우파2 바다 옷 사복 패션 정보,9-19,1622,"['#스트릿우먼파이터2', '#바다리', '#스우파바다', '#swf2', '#연예인옷정보']",8,https://www.tiktok.com/@fashion.paparazzi/video/7280201655038119169?q=%EC%A0%95%EB%B3%B4
honeyfundictionary,중국산 오징어를 물에 데치자 벌어진 충격적인 일,5-5,24.5K,['#정보'],347,https://www.tiktok.com/@honeyfundictionary/video/7229179755067755777?q=%EC%A0%95%EB%B3%B4
knowledgenolan,양말 2천만 개 끼워서 산 내 아이폰#shorts #쇼츠 #웃긴영상 #지식 #정보전달 #재밌는영상 #fun #interesting #odd #story #funnyvideo #funny #신기한 #정보 #아이폰 #양말 #틱톡 #tictok #led조명,8-8,7166,"['#쇼츠', '#웃긴영상', '#지식', '#정보전달', '#재밌는영상', '#fun', '#interesting', '#odd', '#story', '#funnyvideo', '#funny', '#신기한', '#정보', '#아이폰', '#양말', '#틱톡', '#tictok', '#led조명']",52,https://www.tiktok.com/@knowledgenolan/video/7264598296264494344?q=%EC%A0%95%EB%B3%B4
hyunji041203,라이브에서도 엄청 물어봤던 옷 정보!! 편하게 툭 걸치기 좋으면서 예쁜,10-30,1634,"['#90sense', '#져지', '#04', '#20', '#추천', '#fypシ']",89,https://www.tiktok.com/@hyunji041203/video/7295653720459676935?q=%EC%A0%95%EB%B3%B4
review_mimizzang,유튜브 광고 무료로 차단하는 꿀팁,1-26,11.2K,"['#유튜브', '#리뷰하는미미쨩', '#정보', '#광고차단', '#좋아요']",133,https://www.tiktok.com/@review_mimizzang/video/7192876642996423937?q=%EC%A0%95%EB%B3%B4
shortjisik,조만간 공개되는 전설의 괴수 '네시'의 정체,7-2,41.8K,"['#틱톡꿀팁', '#에듀톡', '#지식', '#상식', '#정보']",660,https://www.tiktok.com/@shortjisik/video/7251176172548132098?q=%EC%A0%95%EB%B3%B4
1qnswjdqh,진짜 한국인 평균은 얼마일까?,11-22,517,"['#정보', '#정보공유']",35,https://www.tiktok.com/@1qnswjdqh/video/7304071173392829714?q=%EC%A0%95%EB%B3%B4
oovoo0_0,시험은 망했지만 기분은 째집니다!!,2021-10-15,31.7K,"['#추천', '#댓글에']",212,https://www.tiktok.com/@oovoo0_0/video/7019218905050828034?q=%EC%A0%95%EB%B3%B4
kimming0_0,에이블리 가을 데이트 룩북,9-27,30.1K,"['#에이블리', '#데이트룩']",391,https://www.tiktok.com/@kimming0_0/video/7283441930850077970?q=%EC%A0%95%EB%B3%B4
angelminam,자위를 하는데 자꾸 성기가 아픕니다.,2021-9-17,8412,"['#틱톡쌤', '#메이저스', '#30초정보', '#추석복주머니', '#공부자극']",149,https://www.tiktok.com/@angelminam/video/7008801381461150978?q=%EC%A0%95%EB%B3%B4
clnannf,,2022-11-30,41.3K,"['#아이패드', '#옛날유행', '#fyp', '#추천']",451,https://www.tiktok.com/@clnannf/video/7171747294755278082?q=%EC%A0%95%EB%B3%B4
