Writer,Content,Date,Like,Tag,Comments,Url
simonmedia141,슬프냐? 어디감?,2일 전,803,"['#슬프냐', '#어디감']",15,https://www.tiktok.com/@simonmedia141/video/7307850021360258311?q=%EB%AF%B8%EB%94%94%EC%96%B4
_in_nout,과제 하기싫어 엉어어엉엉엉 미디어관 해시태그도 만들어줘,2022-10-12,44.6K,['#미대생'],63,https://www.tiktok.com/@_in_nout/video/7153338919235439873?q=%EB%AF%B8%EB%94%94%EC%96%B4
dancersona,오늘 크리에이터 미디어대전 다녀왔습니다🤤🩷 Chúc ngày moi hanh phúc 🙋‍♀️💛 (dc:,8-4,54.7K,[],511,https://www.tiktok.com/@dancersona/video/7263388544905923841?q=%EB%AF%B8%EB%94%94%EC%96%B4
dddamchae,미디어에 나오는 MZ들 vs 실제 MZ인 나의 모습,2-21,24.6K,[],123,https://www.tiktok.com/@dddamchae/video/7202569574716345602?q=%EB%AF%B8%EB%94%94%EC%96%B4
shinheungjae,1등미디어,2019-3-31,12.1K,"['#개그맨', '#울산', '#유튜버', '#문과1등', '#뒤에서1등', '#테니스1등']",189,https://www.tiktok.com/@shinheungjae/video/6674032542414376194?q=%EB%AF%B8%EB%94%94%EC%96%B4
withyb0220,,11-5,1,"['#KUSF', '#틱톡스포츠', '#대학스포츠', '#러너']",0,https://www.tiktok.com/@withyb0220/video/7297986697931869442?q=%EB%AF%B8%EB%94%94%EC%96%B4
pickstival,"초대형 무료 미디어아트 축제?! ⠀ 수원 화성에서 열린 미디어아트 축제입니다. 다양한 체험과 수많은 포토존, 창룡문에 쏘는 환상적인 미디어 파사드 공연까지! ⠀ @나랑 같이 보러 가자! 초대형 미디어아트같이 보러 갈 친구 태그! ⠀ 더 재미있게 즐기실 수 있는 꿀팁 3가지를 영상에 소개해 드렸으니, 꼭 확인 후 가셔서 더 멋지게 즐기고 오세요🫶 ⠀ 📍수원 화성 미디어아트 🗓️ 2023.10.06 ~ 2023.11.04 ⏰ 오후 7시 ~ 오후 10시 ✨ 미디어 파사드 : 7시 / 7시 40분 / 8시 20분 / 9시 / 9시 40분 총 5회 공연 📍 창룡문 일원 ⠀ 🎥 촬영 :",10-16,603,[],17,https://www.tiktok.com/@pickstival/video/7290460544086052098?q=%EB%AF%B8%EB%94%94%EC%96%B4
user8526635747462,[],7-14,36.3K,[],70,https://www.tiktok.com/@user8526635747462/video/7255578095460027650?q=%EB%AF%B8%EB%94%94%EC%96%B4
chengdamunni,여기 나오는 크리에이터분들 누구일까요 🥰아시는분태그해보세요😊,2022-8-6,48.1K,"['#청담언니', '#요리하는메이크업아티스트']",949,https://www.tiktok.com/@chengdamunni/video/7128727055704886530?q=%EB%AF%B8%EB%94%94%EC%96%B4
_.yu.nini._,Mấy chị bình tĩnh,8-10,16K,"['#Jenniekim', '#제니']",80,https://www.tiktok.com/@_.yu.nini._/video/7265678616548085000?q=%EB%AF%B8%EB%94%94%EC%96%B4
hyo.boss,8월5일 토요일 1시~2시 효보스 보러올사람~?🧚🏻‍♀️ 여러분 2023 크리에이터 미디어대전 in 인천에서 효보스가 ASMR 쇼를 진행합니다🩷 송도 컨벤시아 에서 열리니깐 다들 오셔서 퀴즈도 맞추고 선물도 받아가세용~~!!,8-3,40.1K,[],1353,https://www.tiktok.com/@hyo.boss/video/7263028219257933057?q=%EB%AF%B8%EB%94%94%EC%96%B4
usertg19e2u5j4,,2019-3-6,26.6K,"['#일등미디어', '#문과일등', '#문과1등', '#이그젝틀리', '#뒤에서일등', '#김성기', '#이과1등', '#주작송']",508,https://www.tiktok.com/@usertg19e2u5j4/video/6664837686689402114?q=%EB%AF%B8%EB%94%94%EC%96%B4
hankirin,영상으로 체형까지 보정 되는 도른 앱 소개합니다 😳🪄 소셜 미디어가 페이크인 이유 납득 완…,8-9,226,"['#ad', '#prettyupapp']",2,https://www.tiktok.com/@hankirin/video/7265282075345898753?q=%EB%AF%B8%EB%94%94%EC%96%B4
0.0ees,K-Pop 기획사별 시가총액 변화출처:데이터 다람쥐 #,2022-6-2,205.7K,['#'],4119,https://www.tiktok.com/@0.0ees/video/7104578483531123969?q=%EB%AF%B8%EB%94%94%EC%96%B4
luvdia_1113,유리리 취조,2022-11-9,44.6K,"['#틱톡버츄얼', '#버튜버', '#유리리', '#레벨오']",225,https://www.tiktok.com/@luvdia_1113/video/7163925213413985537?q=%EB%AF%B8%EB%94%94%EC%96%B4
luvdia_1113,음원을 확인해주세요! 🤣,2022-11-19,32K,"['#틱톡버츄얼', '#버튜버', '#이아니', '#luvdia', '#릿미디어', '#레벨오', '#러브다이아']",460,https://www.tiktok.com/@luvdia_1113/video/7167603163866991874?q=%EB%AF%B8%EB%94%94%EC%96%B4
hankyung.com,"'학습 시간보다 길다'…어린이, 하루에 미디어 얼마나 볼까 [1분뉴스] #미디어 #학습시간 #동영상시청 #어린이",10-30,49,"['#미디어', '#학습시간', '#동영상시청', '#어린이']",16,https://www.tiktok.com/@hankyung.com/video/7295610598014979330?q=%EB%AF%B8%EB%94%94%EC%96%B4
hyesoo86,,9-29,5417,"['#부여', '#문화유산', '#미디어아트', '#trungthu2023', '#xuhướng', '#🥰🥰🥰', '#trending', '#추석2023']",13,https://www.tiktok.com/@hyesoo86/video/7284215679094459666?q=%EB%AF%B8%EB%94%94%EC%96%B4
jff_remix,바람 리믹스,2021-10-5,330.7K,"['#2', '#틱톡순삭', '#트렌드세터', '#JFF', '#foryourpage', '#크리시아미디어']",2421,https://www.tiktok.com/@jff_remix/video/7015480623984807169?q=%EB%AF%B8%EB%94%94%EC%96%B4
sohee_fan,사진 몇장 가지고 여론몰이 하지말아주세요 ㅠㅠ아직 확인 나온 거 하나도 없는데..,8-3,762,"['#라이즈', '#소희']",140,https://www.tiktok.com/@sohee_fan/video/7262990691532426503?q=%EB%AF%B8%EB%94%94%EC%96%B4
_48654865_,,10-3,6645,"['#행사', '#레이싱모델한민영', '#레이싱모델', '#fyp', '#틱톡라이브bj한민영', '#틱톡라이브bj', '#한민영']",47,https://www.tiktok.com/@_48654865_/video/7285577770535636232?q=%EB%AF%B8%EB%94%94%EC%96%B4
yn_04,앱 꾸미는 방법 💞💞,2020-9-19,7597,"['#추천', '#아이폰', '#14업데이트', '#아이폰업뎃']",190,https://www.tiktok.com/@yn_04/video/6874052218178342146?q=%EB%AF%B8%EB%94%94%EC%96%B4
shyoungmedia,"“우리에게 며느리로 와줘서 고맙고 또 고맙구나“ 특별한 순간, 시어머니의 가슴 따뜻한 덕담💕 신랑의 어머니께서 전한 유쾌하고도 따뜻한 덕담이",10-4,946,[],19,https://www.tiktok.com/@shyoungmedia/video/7286032146257464584?q=%EB%AF%B8%EB%94%94%EC%96%B4
0hb0y_,"오보이 공식 유튜브 클립 업로드용 계정입니다 (●'◡'●) 사칭, 팬 계정 아니에요 ＞︿＜",2021-9-13,39.3K,[],322,https://www.tiktok.com/@0hb0y_/video/7007323777331776770?q=%EB%AF%B8%EB%94%94%EC%96%B4
madaeon,미래는 마대에서 어때?,11-21,5359,"['#마산대', '#마산', '#창원', '#05년생', '#대학교']",116,https://www.tiktok.com/@madaeon/video/7303776066252918024?q=%EB%AF%B8%EB%94%94%EC%96%B4
0hb0y_,무엇을 그려드리면 될까요~??? 1편,2021-11-16,38.2K,"['#다소곳', '#foryourpage', '#ASMR', '#추천', '#pov', '#asmr']",1443,https://www.tiktok.com/@0hb0y_/video/7030992561116318978?q=%EB%AF%B8%EB%94%94%EC%96%B4
yej.n0,삼성으로 일코하기✨️ 튜토리얼 다 받아요!,8-17,439,[],24,https://www.tiktok.com/@yej.n0/video/7268071122334190866?q=%EB%AF%B8%EB%94%94%EC%96%B4
dk._.0813,401일 된 렝프의 비밀 배경화면,8-16,332,"['#다이브한테만추천', '#모든팬덤에게추천', '#추천']",29,https://www.tiktok.com/@dk._.0813/video/7267803432826752264?q=%EB%AF%B8%EB%94%94%EC%96%B4
usertg19e2u5j4,,2019-3-12,101.7K,"['#문과1등', '#이과1등', '#1등미디어', '#이그젝틀리']",518,https://www.tiktok.com/@usertg19e2u5j4/video/6667096378667240706?q=%EB%AF%B8%EB%94%94%EC%96%B4
no.1media,문과1등끼리 끝말잇기를 한다면?!?ㅋㅋㅋㅋㅋㅋ한방단어는 이것만 쓰면 이깁니다!!!!!!,2021-7-25,6839,"['#개그', '#comedy']",95,https://www.tiktok.com/@no.1media/video/6988691594052439298?q=%EB%AF%B8%EB%94%94%EC%96%B4
tukmedia,,4-20,3007,"['#차선물', '#턱미디어', '#웃긴영상', '#커플', '#여친']",57,https://www.tiktok.com/@tukmedia/video/7223994212008611080?q=%EB%AF%B8%EB%94%94%EC%96%B4
tukmedia,,8-15,4463,"['#턱미디어', '#주차빌런', '#주차장빌런', '#웃긴영상']",154,https://www.tiktok.com/@tukmedia/video/7267498259936054535?q=%EB%AF%B8%EB%94%94%EC%96%B4
badagofda,"저는 미디어 쇼케이스 기회를 얻게 되어 파라다이브35를 미리 방문 해 볼수 있었어요 📍위치: 경기도 시흥시 거북섬 중앙로 1 📍오픈 날짜: 10/14 📍수심 1.3/5/10/20/35m 📍수온 29~30도 📍이집트 풍의 석상들과 벽화 📍벽과 거울이 있어 다양한 사진 가능 📍빛의 위치 오전 10시 :돌고래 벽화가 있는 쪽 시간이 지나면서 신전쪽으로 빛이 이동 📍이밖에도 염소제거가 가능한 올인원 워시와 부족하지 않은 드라이기,선풍기 그리고 각종 어메니티들이 비치되어 있어 너무 편리했어요 📍주변 편의시설 및 음식점 또한 다양합니다 장점만 모아놓은 이곳! @paradive_official 오픈 하면 수업하러, 놀러 자주 가볼 계획입니다!! ✅14일 전에는 장비 박람회와 머메이드쇼, 프리다이빙 대회 개최등 다양한 이벤트 들이 준비되어 있으니 기대해보셔도 좋을것 같아요",9-19,5432,[],110,https://www.tiktok.com/@badagofda/video/7280504760577412353?q=%EB%AF%B8%EB%94%94%EC%96%B4
tukmedia,,10-9,10.6K,"['#턱미디어', '#웃긴영상', '#웃긴짤', '#블랙박스']",410,https://www.tiktok.com/@tukmedia/video/7287910659637955842?q=%EB%AF%B8%EB%94%94%EC%96%B4
shyoungmedia,"👰💍🤵 쌍둥이 언니의 결혼식 축사 ✨ 눈으로 보고, 마음으로 느끼는 감동 축사❤️ 📍: 부천 MJ컨벤션 💍 WillYouMarryMe 𖤐 카톡상담 및 예약문의 프로필 링크 혹은 카카오톡 채널 ‘신화영미디어’ 검색 𖤐 전화상담 010-2413-9986",10-2,1415,[],12,https://www.tiktok.com/@shyoungmedia/video/7285201319739149576?q=%EB%AF%B8%EB%94%94%EC%96%B4
user5688863447329,최애의 청명,7-16,7366,"['#화산귀환', '#이게뭐지', '#내가뭘만든거지', '#죄송합니다', '#청명', '#추천', '#최애의아이']",386,https://www.tiktok.com/@user5688863447329/video/7256351447904832769?q=%EB%AF%B8%EB%94%94%EC%96%B4
kstar_tv,워크숍 첫 날 밤! 흐름 타서 이제 쉬지 말아볼까? 이대로 첫 날 만에 문제 해결 완료? ‘섹스리스’로 사는 부부를 위한 신개념 토크쇼 [쉬는 부부] 👉 6월 19일 월요일 밤 10시 30분 첫방송🌟 K▸star 많은 시청 바랍니다 🤗 🚏 KT 지니 TV 87번 | SK B tv 96번 | LG U+TV 79번 | KT 스카이라이프 509번 | 웨이브(wavve) 🚏지역별 케이블 채널 번호는 K-STAR 공식 홈페이지 (http://kstar-tv.com/) 에서 확인! KSTAR 구독 👉https://www.youtube.com/@Kstar_CRB #섹스리스 #부부관계 #쉬는부부 #부부고민 #케이스타 #Kstar #초록뱀미디어,6-26,2859,"['#섹스리스', '#부부관계', '#쉬는부부', '#부부고민', '#케이스타', '#Kstar', '#초록뱀미디어']",23,https://www.tiktok.com/@kstar_tv/video/7248888694403321090?q=%EB%AF%B8%EB%94%94%EC%96%B4
hyunsong,전교 꼴찌도 노력하면 인서울 할 수 있습니다!! 다들 홧팅..!!👊,11-15,18.2K,"['#대학결과', '#수능']",435,https://www.tiktok.com/@hyunsong/video/7301656344250125569?q=%EB%AF%B8%EB%94%94%EC%96%B4
tukmedia,,7-4,693,"['#턱미디어', '#웃긴영상', '#웃긴', '#웃긴짤']",12,https://www.tiktok.com/@tukmedia/video/7251894011861028098?q=%EB%AF%B8%EB%94%94%EC%96%B4
fkrwl,@place_archive,10-4,11.4K,['#Repost'],7,https://www.tiktok.com/@fkrwl/video/7286057492210011410?q=%EB%AF%B8%EB%94%94%EC%96%B4
kwonjongsu0,,11-21,717,"['#명동', '#신세계백화점']",8,https://www.tiktok.com/@kwonjongsu0/video/7303884687418592514?q=%EB%AF%B8%EB%94%94%EC%96%B4
funmeme0509,,2022-3-28,8257,"['#웃긴짤', '#레전드', '#개꿀잼', '#꿀잼', '#딸배', '#배달원']",104,https://www.tiktok.com/@funmeme0509/video/7079819951980268802?q=%EB%AF%B8%EB%94%94%EC%96%B4
shyoungmedia,딸을 시집보내는 친정아빠가 사위에게 전하는 센스가득한 덕담 👍🏻 𖤐 신화영미디어 11주년 예약 이벤트중 𖤐 📍: 여수 디오션 호텔 웨딩홀 💍 WillYouMarryMe 𖤐 카톡상담 및 예약문의 프로필 링크 혹은 카카오톡 채널 ‘신화영미디어’ 검색 𖤐 전화상담 010-2413-9986,11-3,84,[],0,https://www.tiktok.com/@shyoungmedia/video/7297003192989076744?q=%EB%AF%B8%EB%94%94%EC%96%B4
sunny_dongwon0319,@dongwon_love_koalra ——,21시간 전,124,"['#Repost', '#kbs전국노래자랑녹화']",2,https://www.tiktok.com/@sunny_dongwon0319/video/7308300656660516098?q=%EB%AF%B8%EB%94%94%EC%96%B4
sgkjh1,,7-8,25.6K,"['#최애의아이', '#아이돌']",913,https://www.tiktok.com/@sgkjh1/video/7253309356811226370?q=%EB%AF%B8%EB%94%94%EC%96%B4
1minsangsic,지난 2년간 노래방에서 가장 많이 부른 노래,2022-11-5,111K,"['#에듀톡', '#틱톡교실']",1631,https://www.tiktok.com/@1minsangsic/video/7162448110000622849?q=%EB%AF%B8%EB%94%94%EC%96%B4
ppudingtoon,조커가 출산을 도와줬어요!!😮_3,2021-11-11,14.2K,"['#조커', '#임산부', '#썰툰', '#영상툰', '#fyp', '#foryourpage', '#크리시아미디어']",15,https://www.tiktok.com/@ppudingtoon/video/7029180231223135490?q=%EB%AF%B8%EB%94%94%EC%96%B4
maraduckk,나는 마라탕만 시켰는데...? 어.....? 이게 뭐지....?,2021-12-22,38.3K,"['#마라덕', '#틱톡푸드', '#틱톡먹방', '#food', '#마라탕']",447,https://www.tiktok.com/@maraduckk/video/7044426653270936833?q=%EB%AF%B8%EB%94%94%EC%96%B4
